ym:s:visitID;ym:s:counterID;ym:s:watchIDs;ym:s:date;ym:s:dateTime;ym:s:dateTimeUTC;ym:s:isNewUser;ym:s:startURL;ym:s:endURL;ym:s:pageViews;ym:s:visitDuration;ym:s:bounce;ym:s:ipAddress;ym:s:params;ym:s:goalsID;ym:s:goalsSerialNumber;ym:s:goalsDateTime;ym:s:goalsPrice;ym:s:goalsOrder;ym:s:goalsCurrency;ym:s:clientID;ym:s:lastTrafficSource;ym:s:lastAdvEngine;ym:s:lastReferalSource;ym:s:lastSearchEngineRoot;ym:s:lastSearchEngine;ym:s:lastSocialNetwork;ym:s:lastSocialNetworkProfile;ym:s:referer;ym:s:lastDirectClickOrder;ym:s:lastDirectBannerGroup;ym:s:lastDirectClickBanner;ym:s:lastDirectPhraseOrCond;ym:s:lastDirectPlatformType;ym:s:lastDirectPlatform;ym:s:lastDirectConditionType;ym:s:lastCurrencyID;ym:s:from;ym:s:UTMCampaign;ym:s:UTMContent;ym:s:UTMMedium;ym:s:UTMSource;ym:s:UTMTerm;ym:s:openstatAd;ym:s:openstatCampaign;ym:s:openstatService;ym:s:openstatSource;ym:s:hasGCLID;ym:s:regionCountry;ym:s:regionCity;ym:s:browserLanguage;ym:s:browserCountry;ym:s:clientTimeZone;ym:s:deviceCategory;ym:s:mobilePhone;ym:s:mobilePhoneModel;ym:s:operatingSystemRoot;ym:s:operatingSystem;ym:s:browser;ym:s:browserMajorVersion;ym:s:browserMinorVersion;ym:s:browserEngine;ym:s:browserEngineVersion1;ym:s:browserEngineVersion2;ym:s:browserEngineVersion3;ym:s:browserEngineVersion4;ym:s:cookieEnabled;ym:s:javascriptEnabled;ym:s:flashMajor;ym:s:flashMinor;ym:s:screenFormat;ym:s:screenColors;ym:s:screenOrientation;ym:s:screenWidth;ym:s:screenHeight;ym:s:physicalScreenWidth;ym:s:physicalScreenHeight;ym:s:windowClientWidth;ym:s:windowClientHeight;ym:s:purchaseID;ym:s:purchaseDateTime;ym:s:purchaseAffiliation;ym:s:purchaseRevenue;ym:s:purchaseTax;ym:s:purchaseShipping;ym:s:purchaseCoupon;ym:s:purchaseCurrency;ym:s:purchaseProductQuantity;ym:s:productsPurchaseID;ym:s:productsID;ym:s:productsName;ym:s:productsBrand;ym:s:productsCategory;ym:s:productsCategory1;ym:s:productsCategory2;ym:s:productsCategory3;ym:s:productsCategory4;ym:s:productsCategory5;ym:s:productsVariant;ym:s:productsPosition;ym:s:productsPrice;ym:s:productsCurrency;ym:s:productsCoupon;ym:s:productsQuantity;ym:s:impressionsURL;ym:s:impressionsDateTime;ym:s:impressionsProductID;ym:s:impressionsProductName;ym:s:impressionsProductBrand;ym:s:impressionsProductCategory;ym:s:impressionsProductCategory1;ym:s:impressionsProductCategory2;ym:s:impressionsProductCategory3;ym:s:impressionsProductCategory4;ym:s:impressionsProductCategory5;ym:s:impressionsProductVariant;ym:s:impressionsProductPrice;ym:s:impressionsProductCurrency;ym:s:impressionsProductCoupon;ym:s:lastDirectClickOrderName;ym:s:lastClickBannerGroupName;ym:s:lastDirectClickBannerName;ym:s:networkType
1527047894039267200;34322390;[1527047894039267200,1527064000747023024,1527073494227224439];2017-03-28;2017-03-28 13:07:05;2017-03-28 13:07:05;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/;3;98;0;46.146.51.xxx;[];[];[];[];[];[];[];1463065703371515230;organic;ya_undefined;yandex.ru;yandex;yandex_mobile;;;https://yandex.ru/search/touch/?text=похудеть пермь&msid=1490695596.99288.22901.19452&lr=50;;0;0;;;;;;;;;;;;;;;;0;Russia;Perm;30066;30066;300;2;apple;iPhone;ios_double;ios10;safari_mobile;10;0;WebKit;602;4;6;0;1;1;0;0;11;32;1;320;568;640;1136;980;1409;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1577839276127431339;34322390;[1577839276127431339,1577857252879510187,1578079624802864845];2017-03-30;2017-03-30 18:56:19;2017-03-30 18:56:19;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/;3;917;0;46.146.111.xxx;[];[];[];[];[];[];[];1490889375950327837;organic;ya_undefined;yandex.ru;yandex;yandex_search;;;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1376&l10n=ru;;0;0;;;;;;;;;;;;;;;;0;Russia;Perm;30066;0;300;1;;;macos;mac_os_x_el_capitan;opera;43;0;WebKit;537;36;0;0;1;1;25;0;37;24;2;1366;768;1366;768;1305;700;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1580112672832620386;34322390;[1580112672832620386];2017-03-30;2017-03-30 21:20:51;2017-03-30 21:20:51;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/;1;0;1;213.87.249.xxx;[];[];[];[];[];[];[];1490898051379018162;referral;ya_undefined;link.2gis.ru;;;;;http://link.2gis.ru/1.2/0831010C/webapi/20170301/project16/2252328094701356/dietolog.org/wgog5448G44AB1A7715G2G1G56z24g94G4G64J3H1HI1G536hcge832I3A1I2272352AAC1Aod85uv0B9A9A2368J92A33381H4J1G22d?http://perm.im-slim.ru;;0;0;;;;;;;;;;;;;;;;0;Russia;;30066;30066;300;2;apple;iPhone;ios_double;ios10;safari_mobile;10;0;WebKit;603;1;30;0;1;1;0;0;11;32;1;375;667;750;1334;980;1461;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1603503340611178380;34322390;[1603503340611178380,1603539546834210508];2017-03-31;2017-03-31 22:07:59;2017-03-31 22:07:59;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/price;2;153;0;194.9.226.xxx;[];[];[];[];[];[];[];14909872801019238672;organic;ya_undefined;yandex.ru;yandex;yandex_mobile;;;https://yandex.ru/search/touch/?text=центры снижения веса в перми &lr=21745;;0;0;;;;;;;;;;;;;;;;0;Russia;Reutov;30066;30066;180;2;apple;iPhone;ios_double;ios10;safari_mobile;10;0;WebKit;602;3;12;0;1;1;0;0;11;32;1;375;667;750;1334;980;1461;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1491082008718477155;34322390;[1491082008718477155];2017-03-26;2017-03-26 23:00:26;2017-03-26 23:00:26;0;http://perm.im-slim.ru/price;http://perm.im-slim.ru/price;1;0;1;46.147.58.xxx;[];[];[];[];[];[];[];1481135128816153622;internal;ya_undefined;perm.im-slim.ru;;;;;http://perm.im-slim.ru/;;0;0;;;;;;;;;;;;;;;;0;Russia;Perm;30066;30066;300;2;apple;iPhone;ios_double;ios10;safari_mobile;10;0;WebKit;602;4;6;0;1;1;0;0;11;32;1;375;667;750;1334;980;1461;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1513405321158328441;34322390;[1513405321158328441];2017-03-27;2017-03-27 22:39:43;2017-03-27 22:39:43;0;http://perm.im-slim.ru/price;http://perm.im-slim.ru/price;1;0;1;46.147.58.xxx;[];[];[];[];[];[];[];1481135128816153622;internal;ya_undefined;perm.im-slim.ru;;;;;http://perm.im-slim.ru/;;0;0;;;;;;;;;;;;;;;;0;Russia;Perm;30066;30066;300;2;apple;iPhone;ios_double;ios10;safari_mobile;10;0;WebKit;602;4;6;0;1;1;0;0;11;32;1;375;667;750;1334;980;1461;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1499467641821595512;34322390;[1499467641821595512];2017-03-27;2017-03-27 07:53:35;2017-03-27 07:53:35;0;http://perm.im-slim.ru/;http://perm.im-slim.ru/;1;14;0;46.146.223.xxx;[];[];[];[];[];[];[];1486356739862278480;direct;ya_undefined;;;;;;;;0;0;;;;;;;;;;;;;;;;0;Russia;Perm;30066;30066;300;1;;;windows;windows_7_2008server;firefox;44;0;Gecko;44;0;0;0;1;1;0;0;37;24;2;1920;1080;1920;1080;1007;576;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1549658286338343034;34322390;[1549658286338343034];2017-03-29;2017-03-29 13:04:37;2017-03-29 13:04:37;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/;1;15;0;89.148.233.xxx;[];[];[];[];[];[];[];1490781876234866202;organic;ya_undefined;yandex.ru;yandex;yandex_search;;;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1375&l10n=ru;;0;0;;;;;;;;;;;;;;;;0;Russia;Perm;30066;0;300;1;;;windows;windows10;yandex_browser;17;3;WebKit;537;36;0;0;1;1;25;0;37;24;2;1920;1080;1920;1080;1905;950;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1593720512008946289;34322390;[1593720512008946289];2017-03-31;2017-03-31 11:46:01;2017-03-31 11:46:01;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/;1;15;0;46.146.60.xxx;[];[];[];[];[];[];[];1490949964539571428;organic;ya_undefined;yandex.ru;yandex;yandex_search;;;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1376&l10n=ru;;0;0;;;;;;;;;;;;;;;;0;Russia;Perm;30066;0;300;1;;;windows;windows_7_2008server;chrome;56;0;WebKit;537;36;0;0;1;1;0;0;37;24;2;1366;768;1366;768;1349;662;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1567779286315707044;34322390;[1567779286315707044,1567784509796517723,1567787991609378652,1567877689844172665,1567879123479299929];2017-03-30;2017-03-30 08:16:43;2017-03-30 08:16:43;1;http://perm.im-slim.ru/price;http://perm.im-slim.ru/price#raspisanie;5;381;0;178.47.88.xxx;[];[];[];[];[];[];[];1490850994541256616;organic;ya_undefined;yandex.ru;yandex;yandex_search;;;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1375&l10n=ru;;0;0;;;;;;;;;;;;;;;;0;Russia;Perm;30066;0;300;1;;;windows;windows_7_2008server;msie;9;0;Trident;5;0;0;0;1;1;15;0;26;24;2;1280;1024;0;0;1263;899;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
