ym:pv:watchID;ym:pv:counterID;ym:pv:date;ym:pv:dateTime;ym:pv:title;ym:pv:URL;ym:pv:referer;ym:pv:UTMCampaign;ym:pv:UTMContent;ym:pv:UTMMedium;ym:pv:UTMSource;ym:pv:UTMTerm;ym:pv:browser;ym:pv:browserMajorVersion;ym:pv:browserMinorVersion;ym:pv:browserCountry;ym:pv:browserEngine;ym:pv:browserEngineVersion1;ym:pv:browserEngineVersion2;ym:pv:browserEngineVersion3;ym:pv:browserEngineVersion4;ym:pv:browserLanguage;ym:pv:clientTimeZone;ym:pv:cookieEnabled;ym:pv:deviceCategory;ym:pv:flashMajor;ym:pv:flashMinor;ym:pv:from;ym:pv:hasGCLID;ym:pv:ipAddress;ym:pv:javascriptEnabled;ym:pv:mobilePhone;ym:pv:mobilePhoneModel;ym:pv:openstatAd;ym:pv:openstatCampaign;ym:pv:openstatService;ym:pv:openstatSource;ym:pv:operatingSystem;ym:pv:operatingSystemRoot;ym:pv:physicalScreenHeight;ym:pv:physicalScreenWidth;ym:pv:regionCity;ym:pv:regionCountry;ym:pv:screenColors;ym:pv:screenFormat;ym:pv:screenHeight;ym:pv:screenOrientation;ym:pv:screenWidth;ym:pv:windowClientHeight;ym:pv:windowClientWidth;ym:pv:params;ym:pv:lastTrafficSource;ym:pv:lastSearchEngine;ym:pv:lastSearchEngineRoot;ym:pv:lastAdvEngine;ym:pv:artificial;ym:pv:pageCharset;ym:pv:link;ym:pv:download;ym:pv:notBounce;ym:pv:lastSocialNetwork;ym:pv:httpError;ym:pv:clientID;ym:pv:networkType;ym:pv:lastSocialNetworkProfile;ym:pv:goalsID;ym:pv:shareService;ym:pv:shareURL;ym:pv:shareTitle;ym:pv:iFrame
1448042012716306121;34322390;2017-03-25;2017-03-25 01:24:01;Я - похудела;http://perm.im-slim.ru/reviews;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1370&l10n=ru;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;2.93.196.xxx;1;;;;;;;windows8_1;windows;768;1366;Perm;Russia;24;37;768;2;1366;638;1349;;organic;yandex_search;yandex;;0;utf-8;0;0;0;;0;1490394146677067428;;;[];;;;0
1448046760767524553;34322390;2017-03-25;2017-03-25 01:24:20;;http://perm.im-slim.ru/reviews;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;2.93.196.xxx;1;;;;;;;windows8_1;windows;768;1366;Perm;Russia;24;37;768;2;1366;638;1349;;direct;;;;1;utf-8;0;0;1;;0;1490394146677067428;;;[];;;;0
1500216991810848617;34322390;2017-03-27;2017-03-27 08:41:13;Я - похудела;http://perm.im-slim.ru/;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1372&l10n=ru;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;0;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;organic;yandex_search;yandex;;0;utf-8;0;0;0;;0;1490593275863002893;;;[];;;;0
1500220931581151081;34322390;2017-03-27;2017-03-27 08:41:28;;http://perm.im-slim.ru/;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;0;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;direct;;;;1;utf-8;0;0;1;;0;1490593275863002893;;;[];;;;0
1500228026277824372;34322390;2017-03-27;2017-03-27 08:41:55;Я - похудела;http://perm.im-slim.ru/promotions;http://perm.im-slim.ru/;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;0;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;internal;;;;0;utf-8;0;0;0;;0;1490593275863002893;;;[24311590];;;;0
1500255998697015156;34322390;2017-03-27;2017-03-27 08:43:42;Я - похудела;http://perm.im-slim.ru/promotions;http://perm.im-slim.ru/promotions;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;0;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;internal;;;;0;utf-8;0;0;0;;0;1490593275863002893;;;[24311590];;;;0
1500259787842781307;34322390;2017-03-27;2017-03-27 08:43:56;Я - похудела;http://perm.im-slim.ru/;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1372&l10n=ru;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;organic;yandex_search;yandex;;0;utf-8;0;0;0;;0;1490593275863002893;;;[];;;;0
1500260463341731963;34322390;2017-03-27;2017-03-27 08:43:59;Я - похудела;http://perm.im-slim.ru/#raspisanie;http://perm.im-slim.ru/;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;internal;;;;0;utf-8;0;0;0;;0;1490593275863002893;;;[];;;;0
1500266129501454459;34322390;2017-03-27;2017-03-27 08:44:21;;http://perm.im-slim.ru/#raspisanie;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;direct;;;;1;utf-8;0;0;1;;0;1490593275863002893;;;[];;;;0
1500268863737302736;34322390;2017-03-27;2017-03-27 08:44:31;Я - похудела;http://perm.im-slim.ru/reviews;http://perm.im-slim.ru/;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;internal;;;;0;utf-8;0;0;0;;0;1490593275863002893;;;[];;;;0
